"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","BlankFlag","Flags","QC_area"
"1","161107_Smp_Cy_A","I285.1445R8.18_HILICPos",18.98,93658,0,"18260",-3.8,NA,NA,NA,8.855,"RTFlag",20090,NA,"RTFlag, ",NA
"2","161107_Smp_Cy_B","I285.1445R8.18_HILICPos",2,128862,0,"34489",11.8,NA,"ppmFlag",NA,8.855,"RTFlag",20090,NA,"ppmFlag, RTFlag, ",NA
"3","161107_Smp_Cy_C","I285.1445R8.18_HILICPos",2,178669,0,"42727",7.6,NA,"ppmFlag",NA,8.855,"RTFlag",20090,NA,"ppmFlag, RTFlag, ",NA
"4","161107_Smp_2090_A","I285.1445R8.18_HILICPos",3.34,22707,0,"11826",0.4,NA,NA,NA,8.855,"RTFlag",7373,NA,"RTFlag, ",NA
"5","161107_Smp_2090_B","I285.1445R8.18_HILICPos",0.34,46076,0,"32530",8.9,NA,"ppmFlag",NA,8.855,"RTFlag",7373,NA,"ppmFlag, RTFlag, ",NA
"6","161107_Smp_2090_C","I285.1445R8.18_HILICPos",6.5,26858,0,"10454",0.9,NA,NA,NA,8.855,"RTFlag",7373,NA,"RTFlag, ",NA
"7","161107_Smp_371_A","I285.1445R8.18_HILICPos",4.84,46093,0,"9729",2.1,NA,NA,NA,8.855,"RTFlag",28567,NA,"RTFlag, ",NA
"8","161107_Smp_371_B","I285.1445R8.18_HILICPos",2.02,98045,0,"21773",8.7,NA,"ppmFlag",NA,8.855,"RTFlag",28567,NA,"ppmFlag, RTFlag, ",NA
"9","161107_Smp_371_C","I285.1445R8.18_HILICPos",1.99,48905,0,"13202",3.9,NA,NA,NA,8.855,"RTFlag",28567,NA,"RTFlag, ",NA
"10","161107_Smp_To_A","I285.1445R8.18_HILICPos",13.26,511888,0,"58104",-1.3,NA,NA,NA,8.855,"RTFlag",12977,NA,"RTFlag, ",NA
"11","161107_Smp_To_B","I285.1445R8.18_HILICPos",13.23,125093,0,"29569",-0.3,NA,NA,NA,8.855,"RTFlag",12977,NA,"RTFlag, ",NA
"12","161107_Smp_To_C","I285.1445R8.18_HILICPos",13.18,64859,0,"11423",0.1,NA,NA,NA,8.855,"RTFlag",12977,NA,"RTFlag, ",NA
"13","161107_Smp_Tp_A","I285.1445R8.18_HILICPos",2.01,106166,0,"62807",10.8,NA,"ppmFlag",NA,8.855,"RTFlag",912,NA,"ppmFlag, RTFlag, ",NA
"14","161107_Smp_Tp_E","I285.1445R8.18_HILICPos",1.94,50769,0,"25474",9.6,NA,"ppmFlag",NA,8.855,"RTFlag",912,NA,"ppmFlag, RTFlag, ",NA
"15","161107_Smp_Tp_F","I285.1445R8.18_HILICPos",0.83,33479,0,"8846",1.7,NA,NA,NA,8.855,"RTFlag",912,NA,"RTFlag, ",NA
"16","161107_Smp_Cy_A","I152.0567R8.12_HILICPos",8.7,26127492,1239081,"2396462",-0.7,NA,NA,NA,8.54,NA,2581240,NA,"",26127492
